PUNTO_VENTA;CODIGO_PDV;PV.NOMBRE||'|'||EQU.NOMBRE;SFLEX.PKG_CIFRAR.FUN_DECRYPT(EQU.DIRECCION_MAC)
17423;20163;3540  CIUDADELA SAN ANTONIO 2 | CIUDADELA SAN ANTONIO 2;04:7C:16:B4:17:F2
16435;19940;3688 BARZAL TRES | BARZAL TRES;1111
17424;20157;3689 13 DE MAYO | 13 DE MAYO;70:85:C2:D2:96:DD
17509;20062;3693 ACUEDUCTO | ACUEDUCTO;1C:69:7A:12:7E:FB
300002;300010;3699-EL MARFIL2 - PRINCIPAL GAITAN | MARFIL 2 ;1C:69:7A:17:46:21
17371;20169;3700 CEMERCA 2 | CEMERCA 2;AC:E2:D3:5E:71:09
17442;20066;3702 LA KOROKORA | LA KOROKORA;D8:BB:C1:95:CE:5B
17443;20098;3703 JORDAN | JORDAN;04:7C:16:B4:3C:21
17469;20067;3704 LA SABANA | LA SABANA;F8:B4:6A:B1:8C:48
17466;20105;3705 PANADERIA NONI | PANADERIA NONI;A8:A1:59:99:2B:41
17444;20106;3706 PARAISO | PARAISO;A8:A1:59:B0:C5:D4
17467;21131;3707 PARAISO E2 | PARAISO E2;94:C6:91:35:45:EA
17445;20068;3708 TRANSITO | TRANSITO;D8:BB:C1:4:22:44
17445;300003;3708 TRANSITO | TRANSITO VILLAVICENCIO;D8:BB:C1:04:22:44
17470;20099;3709 VEINTE DE JULIO 1 | VEINTE DE JULIO 1;D8:BB:C1:95:CE:5E
17471;20074;3710 VEINTE DE JULIO 2 | VEINTE DE JULIO 2;A8:A1:59:78:72:E5
17472;20107;3712 BOCHICA | BOCHICA;A8:A1:59:66:0D:24
17473;20108;3713 CAMINO REAL | CAMINO REAL;30:9C:23:DC:3D:66
17446;20100;3714 LA CEIBA | LA CEIBA ;04:7C:16:B4:3C:26
17447;20109;3715 DOS MIL | DOS MIL;30:9C:23:DC:64:94
17475;20101;3716 EL BAMBU | EL BAMBU;2C:F0:5D:22:DF:4A
17476;20110;3717 EL NOGAL | EL NOGAL ;D8:BB:C1:DE:9E:58
17448;20077;3718 POPULAR | POPULAR;04:7C:16:B4:3C:24
17477;20111;3719 EL POPULAR 2 | EL POPULAR 2;30:9C:23:DC:3E:21
17449;20112;3720 LOS ALPES | LOS ALPES;D8:BB:C1:04:39:35
17450;20078;3721 FLORESTA | FLORESTA;30:9C:23:DC:4A:92
